Value		Equation			Hertz				Closest Note/Octave
=======================================================================
$1DDC		(8000000/489236)	16.352000			C-0
$1C2F		(8000000/461787)	17.324000			C#0
$1A9A		(8000000/435872)	18.354000			D-0
$191C		(8000000/411416)	19.445000			Eb0
$17B3		(8000000/388311)	20.602000			E-0
$165E		(8000000/366518)	21.827000			F-0
$151D		(8000000/345945)	23.125000			F#0
$13EE		(8000000/326530)	24.500000			G-0
$12CF		(8000000/308202)	25.957000			Ab0
$11C1		(8000000/290909)	27.500000			A-0
$10C2		(8000000/274583)	29.135000			Bb0
===[begin valid values]================================
$FD1		(8000000/259168)	30.868000			B-0
-------------------------------------------------------
$EEE		(8000000/244625)	32.703000			C-1
$E17		(8000000/230893)	34.648000			C#1
$D4D		(8000000/217936)	36.708000			D-1
$C8E		(8000000/205703)	38.891000			Eb1
$BD9		(8000000/194160)	41.203000			E-1
$B2F		(8000000/183259)	43.654000			F-1
$A8E		(8000000/172976)	46.249000			F#1
$9F7		(8000000/163268)	48.999000			G-1
$967		(8000000/154103)	51.913000			Ab1
$8E0		(8000000/145454)	55.000000			A-1
$861		(8000000/137291)	58.270000			Bb1
$7E8		(8000000/129586)	61.735000			B-1
-------------------------------------------------------
$777		(8000000/122312)	65.406000			C-2
$70B		(8000000/115446)	69.296000			C#2
$6A6		(8000000/108968)	73.416000			D-2
$647		(8000000/102851)	77.782000			Eb2
$5EC		(8000000/97079)		82.407000			E-2
$597		(8000000/91630)		87.307000			F-2
$547		(8000000/86487)		92.499000			F#2
$4FB		(8000000/81633)		97.999000			G-2
$4B3		(8000000/77049)		103.830000			Ab2
$470		(8000000/72727)		110.000000			A-2
$430		(8000000/68645)		116.540000			Bb2
$3F4		(8000000/64793)		123.470000			B-2
-------------------------------------------------------
$3BB		(8000000/61157)		130.810000			C-3
$385		(8000000/57724)		138.590000			C#3
$353		(8000000/54484)		146.830000			D-3
$323		(8000000/51427)		155.560000			Eb3
$2F6		(8000000/48540)		164.810000			E-3
$2CB		(8000000/45816)		174.610000			F-3
$2A3		(8000000/43243)		185.000000			F#3
$27D		(8000000/40816)		196.000000			G-3
$259		(8000000/38526)		207.650000			Ab3
$238		(8000000/36363)		220.000000			A-3
$218		(8000000/34322)		233.080000			Bb3
$1FA		(8000000/32396)		246.940000			B-3
-------------------------------------------------------
$1DD		(8000000/30577)		261.630000			C-4
$1C2		(8000000/28862)		277.180000			C#4
$1A9		(8000000/27242)		293.660000			D-4
$191		(8000000/25712)		311.130000			Eb4
$17B		(8000000/24269)		329.630000			E-4
$165		(8000000/22907)		349.230000			F-4
$151		(8000000/21622)		369.990000			F#4
$13E		(8000000/20408)		392.000000			G-4
$12C		(8000000/19263)		415.300000			Ab4
$11C		(8000000/18181)		440.000000			A-4
$10C		(8000000/17161)		466.160000			Bb4
$0FD		(8000000/16198)		493.880000			B-4
-------------------------------------------------------
$0EE		(8000000/15289)		523.250000			C-5
$0E1		(8000000/14430)		554.370000			C#5
$0D4		(8000000/13620)		587.330000			D-5
$0C8		(8000000/12856)		622.250000			Eb5
$0BD		(8000000/12134)		659.260000			E-5
$0B2		(8000000/11453)		698.460000			F-5
$0A8		(8000000/10810)		739.990000			F#5
$09F		(8000000/10204)		783.990000			G-5
$096		(8000000/9631)		830.610000			Ab5
$08E		(8000000/9090)		880.000000			A-5
$086		(8000000/8580)		932.330000			Bb5
$07E		(8000000/8099)		987.770000			B-5
-------------------------------------------------------
$077		(8000000/7644)		1046.500000			C-6
$070		(8000000/7215)		1108.700000			C#6
$06A		(8000000/6810)		1174.700000			D-6
$064		(8000000/6428)		1244.500000			Eb6
$05E		(8000000/6067)		1318.500000			E-6
$059		(8000000/5726)		1396.900000			F-6
$054		(8000000/5405)		1480.000000			F#6
$04F		(8000000/5102)		1568.000000			G-6
$04B		(8000000/4815)		1661.200000			Ab6
$047		(8000000/4545)		1760.000000			A-6
$043		(8000000/4290)		1864.700000			Bb6
$03F		(8000000/4049)		1975.500000			B-6
-------------------------------------------------------
$03B		(8000000/3822)		2093.000000			C-7
$038		(8000000/3607)		2217.500000			C#7
$035		(8000000/3405)		2349.300000			D-7
$032		(8000000/3214)		2489.000000			Eb7
$02F		(8000000/3033)		2637.000000			E-7
$02C		(8000000/2863)		2793.800000			F-7
$02A		(8000000/2702)		2960.000000			F#7
$027		(8000000/2551)		3136.000000			G-7
$025		(8000000/2407)		3322.400000			Ab7
$023		(8000000/2272)		3520.000000			A-7
$021		(8000000/2145)		3729.300000			Bb7
$01F		(8000000/2024)		3951.100000			B-7
-------------------------------------------------------
$01D		(8000000/1911)		4186.000000			C-8
$01C		(8000000/1803)		4434.900000			C#8
$01A		(8000000/1702)		4698.600000			D-8
$019		(8000000/1607)		4978.000000			Eb8
$017		(8000000/1516)		5274.000000			E-8
$016		(8000000/1431)		5587.700000			F-8
$015		(8000000/1351)		5919.900000			F#8
$013		(8000000/1275)		6271.900000			G-8
$012		(8000000/1203)		6644.900000			Ab8
$011		(8000000/1136)		7040.000000			A-8
$010		(8000000/1072)		7458.600000			Bb8
