color set for TITLE_E

the palette for Europe is different from the US and Japanese, due to the inclusion
of language flags.

rr gg bb	d rgb RRRR GGGG BBBB
00 00 00	0 000 0000 0000 0000	0000
04 04 04	0 000 0010 0010 0010	0222
08 08 08	0 000 0100 0100 0100	0444
00 00 1F	0 001 0000 0000 1111	100F
00 14 00	0 000 0000 1010 0000	00A0
1F 00 00	0 100 1111 0000 0000	4F00
1F 10 00	0 100 1111 1000 0000	4F80
1F 18 00	0 100 1111 1100 0000	4FC0
10 10 10	0 000 1000 1000 1000	0888
18 18 18	0 000 1100 1100 1100	0CCC
18 18 1F	0 001 1100 1100 1111	1CCF
1F 18 18	0 100 1111 1100 1100	4FCC
1C 1C 1C	0 000 1110 1110 1110	0EEE
1E 1E 1E	0 000 1111 1111 1111	0FFF
1F 1F 1F	0 111 1111 1111 1111	7FFF
00 00 00	1 000 0000 0000 0000	8000
