color set for TITLE_U and TITLE_J

rr gg bb	d rgb RRRR GGGG BBBB
00 00 00	0 000 0000 0000 0000	0000
04 04 04	0 000 0010 0010 0010	0222
08 08 08	0 000 0100 0100 0100	0444
10 10 10	0 000 1000 1000 1000	0888
18 18 18	0 000 1100 1100 1100	0CCC
1C 1C 1C	0 000 1110 1110 1110	0EEE
1F 1F 1F	0 111 1111 1111 1111	7FFF
00 00 00	0 000 0000 0000 0000	0000
00 00 00	0 000 0000 0000 0000	0000
00 00 00	0 000 0000 0000 0000	0000
00 00 00	0 000 0000 0000 0000	0000
00 00 00	0 000 0000 0000 0000	0000
00 00 00	0 000 0000 0000 0000	0000
00 00 00	0 000 0000 0000 0000	0000
00 00 00	0 000 0000 0000 0000	0000
00 00 00	1 000 0000 0000 0000	8000
